category	source1_entity_id	matched_entity_id	variation_labels	s1_business_name	s1_business_address	s1_country	matched_business_name	matched_business_address	matched_country	name_token_jaccard	address_token_jaccard	s1_us_state	matched_us_state	s1_us_city	matched_us_city
address_possible_typo	S1-871845561	S2-341690574	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	Zip Controls (India) Private	25A, CAMAC STREET, VARDAAN MARKET UNIT NO. -405, KOLKATA, KOLKATA, West Bengal	India	0.8	0.9167				
address_script_change	S1-178494434	S2-812965440	address_low_lexical_overlap;address_numeric_tokens_changed;address_script_change;name_word_reordering	Divya Industries Group Pvt Ltd	C/3, Brajeshwari Ex. Ida Scheme No. 140 Main, Indore, Madhya Pradesh	India	pvt divya industries group ltd	C/D/3, INDORE, मध्य प्रदेश	India	1.0	0.2				
address_unit_po_box_change	S1-871845561	S3-496380155	address_embedded_null_marker;address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_case_only	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	ZIP CONTROLS (INDIA) PRIVATE LIMITED	25A., NULL, Kolkata, Howrah, WB	India	1.0	0.2143				
name_abbreviation_equivalent	S1-887051037	S3-423240055	address_possible_typo;name_abbreviation_equivalent;name_legal_suffix_change;name_possible_typo	Builders Ganpati Research Public Limited	Flat No 601 H Block, Ocean Park, Nipania, Indore, Madhya Pradesh	India	Builders Ganpati Research Public Ltd	Door No 601 H Block, Ocean Park, Nipania, Indore, MP	India	0.6667	0.6154				
name_accent_change	S1-955573269	S3-703808979	name_accent_change;us_city_conflict_candidate	Star Duke Inc	5531 E Bavarian Pass, Fridley, MN	US	Star Duke Ínc	5531 E Bavarian Pass, Minneapolis CITY, Minnesota	US	1.0	0.625	MN	MN	fridley	minneapolis city
name_case_only	S1-871845561	S3-496380155	address_embedded_null_marker;address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_case_only	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	ZIP CONTROLS (INDIA) PRIVATE LIMITED	25A., NULL, Kolkata, Howrah, WB	India	1.0	0.2143				
name_digit_letter_substitution	S1-405084297	S2-848666277	address_missing;name_digit_letter_substitution;name_legal_suffix_change;name_low_lexical_overlap	Ontrack Consultancy Private Limited	B-6, Vibhuti Khand Gomti Nagar, Lucknow, Uttar Pradesh	India	Ontrack  C0nsultancy		India	0.2	0.0				
name_honorific_added	S1-178494434	S2-538724478	address_possible_typo;name_honorific_added;name_token_addition_or_removal	Divya Industries Group Pvt Ltd	C/3, Brajeshwari Ex. Ida Scheme No. 140 Main, Indore, Madhya Pradesh	India	Sri Divya Industries Group Pvt Ltd	C/D/3, BRBJESHWARI EX. IDA SCHEME NO. 140 MAIN, INDORE, Madhya Pradesh	India	0.8333	0.7857				
name_initialism_candidate	S1-334719954	S3-378869773	name_initialism_candidate;name_legal_suffix_change;name_low_lexical_overlap	Indrin Services Limited	H-127, Ushas Apartments 16Th Main Road, 4Th Block, Jayanagar, Bangalore, Karnataka	India	IS	H-127, Ushas Apartments 16Th Main Road, 4Th Block, Jayanagar, Bangalore, Karnataka	India	0.0	1.0				
name_joined_or_split_words	S1-738900215	S3-739151579	address_numeric_tokens_changed;name_joined_or_split_words;name_legal_suffix_change;name_possible_typo	Glyphex Beijing LLC	Goldsboro, NC, 3025 Thoroughfare Road	US	Glyphex Beijing L.L.C.	302 Thoroughfare Rd, Goldsboro, North Carolina	US	0.4	0.6667	NC	NC		goldsboro
name_legal_suffix_change	S1-955573269	S2-905119087	address_abbreviation_or_state_expansion;name_legal_suffix_change;name_low_lexical_overlap	Star Duke Inc	5531 E Bavarian Pass, Fridley, MN	US	Mirasol	5531 EAST BAVARIAN PASS, FRIDLEY, MN	US	0.0	1.0	MN	MN	fridley	fridley
name_low_lexical_overlap	S1-955573269	S2-905119087	address_abbreviation_or_state_expansion;name_legal_suffix_change;name_low_lexical_overlap	Star Duke Inc	5531 E Bavarian Pass, Fridley, MN	US	Mirasol	5531 EAST BAVARIAN PASS, FRIDLEY, MN	US	0.0	1.0	MN	MN	fridley	fridley
name_mixed_scripts	S1-441162184	S2-226761239	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_mixed_scripts;name_script_change_possible_transliteration	My Construction Private Limited	Suite No. 19, 6Th Floor Alappatt Heritage Building, M G Road, Kochi, Ernakulam, Kerala	India	My കൺസ്ട്രക്ഷൻ പ്രൈവറ്റ് ലിമിറ്റഡ്	SUITE NO. 19, 6TH FLOOR ALAPPATT HERITAGE BUILDING, M G ROAD, KOCHI, Kerala	India	0.1429	0.9286				
name_numeric_identifier_added	S1-560797718	S2-152452816	address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_numeric_identifier_added;name_token_addition_or_removal	Daphne's Valley Ventures	489 King Drake Road, Brownsboro, AL	US	Daphne's Valley Ventures Corporation - 6287389682	48 KING DRAKE RD, BROWNSBORO, AL	US	0.6667	0.7143	AL	AL	brownsboro	brownsboro
name_possible_typo	S1-292413526	S2-790344830	address_numeric_tokens_changed;address_unit_po_box_change;name_possible_typo;us_city_conflict_candidate	Andrade's Express Analytics	508 Seventh Street, Unit 5, Rocky Top, TN	US	ANDRADE'S EXMEASS ANALYTICS	508. SEVENTH ST, LAKE CITY, TN	US	0.6	0.4	TN	TN	rocky top	lake city
name_punctuation_spacing	S1-292413526	S3-2647992	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;address_unit_po_box_change;name_punctuation_spacing	Andrade's Express Analytics	508 Seventh Street, Unit 5, Rocky Top, TN	US	Andrade's Express (Analytics)	Seventh St, # 5, Rocky Top, Tennessee	US	1.0	0.75	TN	TN	rocky top	rocky top
name_repeated_word_added	S1-900553577	S2-764680165	address_component_addition_or_removal;address_numeric_tokens_changed;name_legal_suffix_change;name_possible_typo;name_repeated_word_added	Jimenez Distribution LLC	39 Myrtle Avenue, Whitman, MA	US	Jimenez Jimenez Distribution	WHITMAN, MYRTLE AVE, MA	US	0.6667	0.8	MA	MA	whitman	
name_script_change_possible_transliteration	S1-441162184	S2-808464076	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	My Construction Private Limited	Suite No. 19, 6Th Floor Alappatt Heritage Building, M G Road, Kochi, Ernakulam, Kerala	India	മൈ കൺസ്ട്രക്ഷൻ പ്രൈവറ്റ് ലിമിറ്റഡ്	SUITE NO. 19, 6TH FLOOR ALAPPATT HERITAGE BUILDING, M G ROAD, KOCHI, Kerala	India	0.0	0.9286				
name_token_addition_or_removal	S1-871845561	S2-341690574	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	Zip Controls (India) Private	25A, CAMAC STREET, VARDAAN MARKET UNIT NO. -405, KOLKATA, KOLKATA, West Bengal	India	0.8	0.9167				
name_trade_alias_marker	S1-738495138	S3-664247359	name_token_addition_or_removal;name_trade_alias_marker	Orthopedic Care Associates of Town Of Laketown LLC	2104 260th Avenue, Unit 22, Town Of Laketown, WI	US	Tavoxylo trading as Orthopedic Care Associates of Town Of Laketown LLC	2104 260th Avenue, Unit 22, Town Of Laketown, WI	US	0.7	1.0	WI	WI	town of laketown	town of laketown
name_url_or_handle	S1-738495138	S2-536420472	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;address_unit_po_box_change;name_legal_suffix_change;name_low_lexical_overlap;name_url_or_handle	Orthopedic Care Associates of Town Of Laketown LLC	2104 260th Avenue, Unit 22, Town Of Laketown, WI	US	orthopediccareassociates.com	2104 260TH AVE, TOWN OF LAKETOWN, WI	US	0.0	0.7778	WI	WI	town of laketown	town of laketown
name_word_reordering	S1-244830679	S3-613715631	address_abbreviation_or_state_expansion;address_component_reordering;name_word_reordering	X 8 Unified Integrated	1417 T Street, Unit APT 6, Sacramento, CA	US	X 8 Integrated Unified	Sacramento, 1417 T St, California, Unit APT 6	US	1.0	1.0	CA	CA	sacramento	
other_text_variation	S1-808207641	S2-791626391	other_text_variation	Temple Community Church	AZ, San Tan Valley, 39719 Telescomb Drive	US	Temple Community Church	39719 TELESCOMB DRIVE, QUEEN CREEK, AZ	US	1.0	0.4444	AZ	AZ		queen creek
us_city_conflict_candidate	S1-955573269	S3-703808979	name_accent_change;us_city_conflict_candidate	Star Duke Inc	5531 E Bavarian Pass, Fridley, MN	US	Star Duke Ínc	5531 E Bavarian Pass, Minneapolis CITY, Minnesota	US	1.0	0.625	MN	MN	fridley	minneapolis city
