source1_entity_id	matched_entity_id	variation_labels	s1_business_name	s1_business_address	s1_country	matched_business_name	matched_business_address	matched_country	name_token_jaccard	address_token_jaccard	s1_us_state	matched_us_state	s1_us_city	matched_us_city
S1-830681339	S2-514866288	address_component_addition_or_removal;address_embedded_null_marker;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal	NK Infrastructure LLP	No.100A, Maharaja Nagar, Grandlyone, Vadakarai, Chennai, Tamil Nadu	India	NK Infrastructure	NO.100A, MAHARAJA NAGAR, GRANDLYONE, VADAKARAI, CHENNAI, null, Tamil Nadu	India	0.6667	0.9				
S1-830681339	S3-823090613	address_numeric_tokens_changed;address_possible_typo;name_joined_or_split_words;name_legal_suffix_change;name_possible_typo	NK Infrastructure LLP	No.100A, Maharaja Nagar, Grandlyone, Vadakarai, Chennai, Tamil Nadu	India	NK-Infrastructure L.L.P.	1-00A, Maharaja Nagar, Grandlyone, Vadakarai, Chennai, TN	India	0.4	0.4167				
S1-830681339	S3-863208128	address_low_lexical_overlap;address_numeric_tokens_changed;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo;name_url_or_handle	NK Infrastructure LLP	No.100A, Maharaja Nagar, Grandlyone, Vadakarai, Chennai, Tamil Nadu	India	infrastructurenk.com	No.1-00a, Chennai, TN	India	0.0	0.1667				
S1-51779529	S2-698647490	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo;name_url_or_handle	Metropolitan Nexera LLC	30 B Mulberry Lane, Boxford, MA	US	metropolitannexera.com	MA, 30  MULBERRY LN, BOXFORD	US	0.0	0.8333	MA	MA	boxford	
S1-51779529	S2-404598661	address_component_addition_or_removal;address_possible_typo	Metropolitan Nexera LLC	30 B Mulberry Lane, Boxford, MA	US	Metropolitan LLC Services	30  MULBERRY LN, BOXFORD, MA	US	0.5	0.8333	MA	MA	boxford	boxford
S1-51779529	S3-383774890	address_missing;name_digit_letter_substitution;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo	Metropolitan Nexera LLC	30 B Mulberry Lane, Boxford, MA	US	Metr0politan Nexera		US	0.25	0.0	MA		boxford	
S1-51779529	S3-885545635	address_missing;name_legal_suffix_change;name_token_addition_or_removal	Metropolitan Nexera LLC	30 B Mulberry Lane, Boxford, MA	US	Metropolitan Nexera		US	0.6667	0.0	MA		boxford	
S1-315119302	S2-650165921	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Al Producer Private Limited	Office No.402, 4Th Floor, Meridian Business Centre, Plot No.27, Sector.30, Sanpada, Thane, Maharashtra	India	अल प्रोड्यूसर प्राइवेट लिमिटेड	BLOCK B-0078 OFFICE NO.402, 4TH FLOOR, MERIDIAN BUSINESS CENTRE, PLOT NO.27, SECTOR.30, SANPADA, THANE, MANCHAR, Maharashtra	India	0.0	0.7895				
S1-315119302	S3-9051846	address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change	Al Producer Private Limited	Office No.402, 4Th Floor, Meridian Business Centre, Plot No.27, Sector.30, Sanpada, Thane, Maharashtra	India	Al Private Limited Service	Office No.402, Thane, MH	India	0.6	0.25				
S1-315119302	S3-990607119	address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_honorific_added;name_legal_suffix_change;name_possible_typo	Al Producer Private Limited	Office No.402, 4Th Floor, Meridian Business Centre, Plot No.27, Sector.30, Sanpada, Thane, Maharashtra	India	Sri Al Producer Privae Limited	Office No.402, Thane, MH	India	0.5	0.25				
S1-662425767	S2-30661532	address_component_addition_or_removal;address_possible_typo;name_punctuation_spacing	Murali Fragrances Private Limited	Bharathi Street, Sringeri, Chikmagalur, Chikamaglur, Karnataka	India	Murali Fragrances Private  Limited	BHARATHI STREET, SRINGERI, CHIKMAGALUR, Karnataka	India	1.0	0.8333				
S1-662425767	S2-711247959	address_script_change;name_legal_suffix_change;name_low_lexical_overlap;name_url_or_handle	Murali Fragrances Private Limited	Bharathi Street, Sringeri, Chikmagalur, Chikamaglur, Karnataka	India	muralifragrances.com	BHARATHI STREET, SRINGERI, CHIKMAGALUR, ಕರ್ನಾಟಕ	India	0.0	0.5714				
S1-662425767	S3-875191268	address_possible_typo;name_legal_suffix_change;name_repeated_word_added;name_token_addition_or_removal	Murali Fragrances Private Limited	Bharathi Street, Sringeri, Chikmagalur, Chikamaglur, Karnataka	India	murali fragrances private limited limited	Bharathi Street, Chikmagalur, Chikamaglur, KA	India	1.0	0.5714				
S1-662425767	S3-419407729	name_legal_suffix_change;name_token_addition_or_removal	Murali Fragrances Private Limited	Bharathi Street, Sringeri, Chikmagalur, Chikamaglur, Karnataka	India	Murali Fragrances	Bharathi Street, Sringeri, Chikmagalur, Chikamaglur, Karnataka	India	0.5	1.0				
S1-824025307	S2-825392800	address_component_addition_or_removal;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shiva Technologies Private Limited	Gujarat, Ahmedabad, 1 Ahmedabad Audyogik Vasahatdudheshwar Road Dhobighat	India	શિવ ટેક્નોલોજીસ પ્રાઇવેટ લિમિટેડ	H.NO #1 AHMEDABAD AUDYOGIK VASAHATDUDHESHWAR ROAD DHOBIGHAT, AHMEDABAD, Gujarat	India	0.0	0.7778				
S1-824025307	S2-996711231	address_component_reordering;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shiva Technologies Private Limited	Gujarat, Ahmedabad, 1 Ahmedabad Audyogik Vasahatdudheshwar Road Dhobighat	India	શિવ ટેક્નોલોજીસ પ્રાઇવેટ લિમિટેડ	##1 AHMEDABAD AUDYOGIK VASAHATDUDHESHWAR ROAD DHOBIGHAT, AHMEDABAD, Gujarat	India	0.0	1.0				
S1-824025307	S3-978219269	address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shiva Technologies Private Limited	Gujarat, Ahmedabad, 1 Ahmedabad Audyogik Vasahatdudheshwar Road Dhobighat	India	શિવ ટેક્નોલોજીસ પ્રાઇવેટ લિમિટેડ	Ahmadabad, Door No 1 Ahmedabad Audyogik Vasahatdudheshwar Road Dhobighat, Ahmedabad, GJ	India	0.0	0.5455				
S1-669252911	S2-456469290	address_script_change;name_punctuation_spacing	Maximum Group of Companies	M No-455, Kamlapur, Sangole, Solapur, Maharashtra	India	Maximum Group of  Companies	M NO-455, KAMLAPUR, SANGOLE, महाराष्ट्र	India	1.0	0.625				
S1-669252911	S2-245647702	address_script_change;name_honorific_added;name_legal_suffix_change;name_token_addition_or_removal	Maximum Group of Companies	M No-455, Kamlapur, Sangole, Solapur, Maharashtra	India	Dr Maximum Group of Companies Limited	M NO-455, KAMLAPUR, SANGOLE, महाराष्ट्र	India	0.6667	0.625				
S1-669252911	S3-32942299	name_initialism_candidate;name_low_lexical_overlap	Maximum Group of Companies	M No-455, Kamlapur, Sangole, Solapur, Maharashtra	India	MGOC	M No-455, Kamlapur, Sangole, Solapur, Maharashtra	India	0.0	1.0				
S1-195263670	S2-944382798	address_numeric_tokens_changed;name_punctuation_spacing	Lumara Mercury	WI, Town Of Dupont, N10886 Town Hall Road	US	Lumara-Mercury	N1088 TOWN HALL RD, MARON, WI	US	1.0	0.4444	WI	WI		maron
S1-195263670	S2-727009910	address_numeric_tokens_changed	Lumara Mercury	WI, Town Of Dupont, N10886 Town Hall Road	US	Lumara Mercury	N1088 TOWN HALL RD, MARON, WI	US	1.0	0.4444	WI	WI		maron
S1-195263670	S3-478499873	name_punctuation_spacing	Lumara Mercury	WI, Town Of Dupont, N10886 Town Hall Road	US	Lumara  Mercury	N10886 Town Hall Road, Maron, Wisconsin	US	1.0	0.625	WI	WI		maron
S1-195263670	S3-739672944	other_text_variation	Lumara Mercury	WI, Town Of Dupont, N10886 Town Hall Road	US	Lumara Mercury	Wisconsin, Maron, N10886 Town Hall Road	US	1.0	0.625	WI	WI		
S1-946366634	S2-215231760	address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_mixed_scripts;name_script_change_possible_transliteration	Star Estate Private Limited	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, Maharashtra	India	स्टार एस्टेट Private Limited	D/689, MUMBAI, Maharashtra	India	0.3333	0.2143				
S1-946366634	S2-973011205	address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Star Estate Private Limited	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, Maharashtra	India	स्टार एस्टेट प्राइवेट लिमिटेड	D/689, MUMBAI, Maharashtra	India	0.0	0.2143				
S1-946366634	S3-720413375	name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Star Estate Private Limited	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, Maharashtra	India	स्टार एस्टेट प्राइवेट लिमिटेड	Mumbai, 689, MH, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21	India	0.0	0.8571				
S1-946366634	S3-742498686	address_possible_typo;name_word_reordering	Star Estate Private Limited	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, Maharashtra	India	Star Limited Private Estate	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, MH	India	1.0	0.8571				
S1-946366634	S3-131199121	address_script_change;name_abbreviation_equivalent;name_legal_suffix_change;name_possible_typo	Star Estate Private Limited	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, Maharashtra	India	Star Estate Private-Ltd	689, Fl Grd, Ganesh Murti, Nagar, Part 3, Gully No 21, Mumbai, महाराष्ट्र	India	0.6	0.8571				
S1-513175924	S2-618326040	address_missing;name_legal_suffix_change;name_possible_typo;name_repeated_word_added	Pranya Dass Private Limited	H.No.8-604, Near Madanapalle Railway Station C.T.M.Cross, Madanalappe, Madanapalle, Cuddapah, Andhra Pradesh	India	PRANYA DASS DASS PRIVATE LTD		India	0.6	0.0				
S1-513175924	S3-644308299	address_landmark_marker_change;address_low_lexical_overlap;name_legal_suffix_change;name_token_addition_or_removal	Pranya Dass Private Limited	H.No.8-604, Near Madanapalle Railway Station C.T.M.Cross, Madanalappe, Madanapalle, Cuddapah, Andhra Pradesh	India	Pranya Dass Private	8-604, Madanapalle, Cuddapah, AP	India	0.75	0.2353				
S1-513175924	S3-752735437	address_landmark_marker_change;name_legal_suffix_change;name_low_lexical_overlap	Pranya Dass Private Limited	H.No.8-604, Near Madanapalle Railway Station C.T.M.Cross, Madanalappe, Madanapalle, Cuddapah, Andhra Pradesh	India	Vionyla	H.no.8-604, Cuddapah, Madanapalle, AP	India	0.0	0.3529				
S1-485945367	S2-655892955	address_numeric_tokens_changed;name_legal_suffix_change;name_token_addition_or_removal	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	Heartland (Abony)	1218 FOURTH STREET, LA CROSSE, WI	US	0.6667	0.5556	WI	WI		la crosse
S1-485945367	S2-991481555	address_numeric_tokens_changed	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	Heartland LLC Center	WI, 1218 FOURTH STREET, CITY OF LA CROSSE	US	0.5	0.7778	WI	WI		
S1-485945367	S2-265480665	address_component_addition_or_removal;name_punctuation_spacing	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	Heartland Abony  LLC	1218 4TH ST, LA CROSSE, WI	US	1.0	0.75	WI	WI		la crosse
S1-485945367	S3-791165730	address_abbreviation_or_state_expansion;address_component_reordering;name_case_only	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	HEARTLAND ABONY LLC	1218 4th St, City Of La Crosse, Wisconsin	US	1.0	1.0	WI	WI		city of la crosse
S1-485945367	S3-509924259	address_numeric_tokens_changed;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo;name_url_or_handle	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	heartlandabony.com	1218 Fourth St, City Of La Crosse, Wisconsin	US	0.0	0.7778	WI	WI		city of la crosse
S1-485945367	S3-388485516	address_component_reordering;name_token_addition_or_removal;name_trade_alias_marker	Heartland Abony LLC	WI, City Of La Crosse, 1218 4th Street	US	Calozeta Formerly Heartland Abony LLC	1218 4th Street, City Of La Crosse, WI	US	0.6	1.0	WI	WI		city of la crosse
S1-27436790	S2-487809546	address_case_punctuation_spacing;name_punctuation_spacing	Philadelphia Surgical Supreme Health Inc.	136 Green Trailer Park Road, Philadelphia, TN	US	Philadelphia Surgical Supreme Health Inc	##136 GREEN TRAILER PARK ROAD, PHILADELPHIA, TN	US	1.0	1.0	TN	TN	philadelphia	philadelphia
S1-27436790	S2-534278996	address_abbreviation_or_state_expansion;name_digit_letter_substitution;name_possible_typo	Philadelphia Surgical Supreme Health Inc.	136 Green Trailer Park Road, Philadelphia, TN	US	Philadelphia 5urgical Supreme Héalth Inc.	##136 GREEN TRAILER PARK RD, PHILADELPHIA, TN	US	0.6667	1.0	TN	TN	philadelphia	philadelphia
S1-27436790	S2-744190796	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal	Philadelphia Surgical Supreme Health Inc.	136 Green Trailer Park Road, Philadelphia, TN	US	PHILADELPHIA SÚRGICAL SUPREME HEALTH	GREEN TRAILER PARK ROAD, PHILADELPHIA, TN	US	0.8	0.8571	TN	TN	philadelphia	philadelphia
S1-27436790	S3-233482438	name_word_reordering	Philadelphia Surgical Supreme Health Inc.	136 Green Trailer Park Road, Philadelphia, TN	US	Philadelphia Supreme Surgical  Health Inc.	Tennessee, Philadelphia, 136D Green Trailer Park Road	US	1.0	0.75	TN	TN	philadelphia	
S1-27436790	S3-620322653	address_possible_typo;name_numeric_identifier_added;name_token_addition_or_removal	Philadelphia Surgical Supreme Health Inc.	136 Green Trailer Park Road, Philadelphia, TN	US	Philadelphia Surgical Supreme Health Inc. Commission #43878	136D Green Trailer Park Rd, Philadelphia, Tennessee	US	0.7143	0.75	TN	TN	philadelphia	philadelphia
S1-345491755	S2-238109134	address_abbreviation_or_state_expansion;name_joined_or_split_words;name_legal_suffix_change;name_possible_typo	XM Prime Dominion LLC	531 Crescent Street, Brooklyn, NY	US	XM Prime Dominion L.L.C.	531 CRESCENT ST, BROOKLYN, NY	US	0.5	1.0	NY	NY	brooklyn	brooklyn
S1-345491755	S3-175319361	address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap	XM Prime Dominion LLC	531 Crescent Street, Brooklyn, NY	US	@xmprime	Crescent St, Brooklny, New York	US	0.0	0.5	NY	NY	brooklyn	brooklny
S1-262489695	S2-316072222	address_numeric_tokens_changed;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shakti Business Limited	H.No. 2-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Hyderabad, Rangareddy, Telangana	India	శక్తి బిజినెస్ లిమిటెడ్	HYDERABAD, H.NO. 2-159/15/6, RANGAREDDY, Telangana	India	0.0	0.5333				
S1-262489695	S2-951222867	address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo;name_url_or_handle	Shakti Business Limited	H.No. 2-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Hyderabad, Rangareddy, Telangana	India	SHÁKTIBUSINESS.COM	NO 2-159/15/6 , PRAPURNA ENCLAVE, SUCHITRA CIRCLE, JEEDIMETLA VILLAGE, HYDERABAD, Telangana	India	0.0	0.8				
S1-262489695	S2-896427622	address_numeric_tokens_changed;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shakti Business Limited	H.No. 2-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Hyderabad, Rangareddy, Telangana	India	శక్తి బిజినెస్ లిమిటెడ్	#2-159/15/6, HYDERABAD, RANGAREDDY, Telangana	India	0.0	0.4				
S1-262489695	S2-6794791	address_numeric_tokens_changed;address_script_change;name_honorific_added;name_token_addition_or_removal	Shakti Business Limited	H.No. 2-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Hyderabad, Rangareddy, Telangana	India	Sri SHAKTI BUSINESS LÍMITED	H.NO. 2-159/15/6 , PARPURNA ENCLAVE, SUCHITRA CIRCLE, JEEDIMETLA VILLAGE, HYDERABAD, తెలంగాణ	India	0.75	0.6471				
S1-262489695	S3-107167362	address_embedded_null_marker;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Shakti Business Limited	H.No. 2-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Hyderabad, Rangareddy, Telangana	India	శక్తి బిజినెస్ లిమిటెడ్	3-159/15, Prapurna Enclave, Suchitra Circle, Jeedimetla Village, Rangareddy, null, Andhra Pradesh	India	0.0	0.5				
S1-241628678	S2-521715976	address_leading_zero_number_format;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Anand Technologies Private Limited	6/83/C. Bijoygarh, Kolkata, Calcutta, West Bengal	India	আনন্দ টেকনোলজিস প্রাইভেট লিমিটেড	06/83/C. BIJOYGARH, KOLKATA, CALCUTTA, West Bengal	India	0.0	0.7778				
S1-241628678	S2-215923240	address_leading_zero_number_format;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_low_lexical_overlap;name_url_or_handle	Anand Technologies Private Limited	6/83/C. Bijoygarh, Kolkata, Calcutta, West Bengal	India	PRIVATETECHNOLOGIESANAND.COM	06/83/C. BIJOYGARH, CALCUTTA, KOLKATA, West Bengal	India	0.0	0.7778				
S1-241628678	S3-952311626	name_legal_suffix_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Anand Technologies Private Limited	6/83/C. Bijoygarh, Kolkata, Calcutta, West Bengal	India	আনন্দ টেকনোলজিস প্রাইভেট লিমিটেড	6/83/C. Bijoygarh, Calcutta, WB	India	0.0	0.5556				
S1-564802624	S2-459580659	address_possible_typo;name_possible_typo	Bailey Ameren	17200 Falls Road, Upperco, MD	US	BAILEY AMERFEN	##17200 FALLS ROAD, UPPEROC, MD	US	0.3333	0.6667	MD	MD	upperco	upperoc
S1-564802624	S2-77015511	address_missing	Bailey Ameren	17200 Falls Road, Upperco, MD	US	Bailey Ameren		US	1.0	0.0	MD		upperco	
S1-564802624	S2-767807562	address_possible_typo;name_possible_typo	Bailey Ameren	17200 Falls Road, Upperco, MD	US	BAlLEY AMEREN	##17200 FALLS RD, UPPEROC, MD	US	0.3333	0.6667	MD	MD	upperco	upperoc
S1-564802624	S3-67780646	address_leading_zero_number_format;address_numeric_tokens_changed;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal;us_city_conflict_candidate	Bailey Ameren	17200 Falls Road, Upperco, MD	US	Bailey Ameren Ltd	0017200 Falls Rd, Uperco CITY, Maryland	US	0.6667	0.375	MD	MD	upperco	uperco city
S1-564802624	S3-785168805	address_leading_zero_number_format;address_numeric_tokens_changed;address_possible_typo;us_city_conflict_candidate	Bailey Ameren	17200 Falls Road, Upperco, MD	US	Bailey Services	0017200 Falls Rd, Uperco CITY, Maryland	US	0.3333	0.375	MD	MD	upperco	uperco city
S1-564802624	S3-647323443	address_leading_zero_number_format;address_numeric_tokens_changed;address_possible_typo;name_punctuation_spacing;us_city_conflict_candidate	Bailey Ameren	17200 Falls Road, Upperco, MD	US	Bailey-Ameren	0017200 Falls Road, Uperco CITY, Maryland	US	1.0	0.375	MD	MD	upperco	uperco city
